"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
17,"NCT03616171","A Sleep Intervention (SLEEP-Extend) for Young Adults At-Risk for Type 2 Diabetes",,"Recruiting","No Results Available","Diabetes Mellitus, Type 2","Behavioral: SLEEP-Extend intervention|Other: Control","Feasibility of the Study measured by number of enrollments in the study over 1 year|Feasibility of the SLEEP-Extend intervention among young adults measured by number of subjects enrolled in the intervention arm and complete the study|Change in Homeostatic Model Assessment for Insulin Resistance (HOMA-IR) scores among the SLEEP-Extend intervention group compared to control group|Change in Sleep Extension among the subjects that received SLEEP-Extend intervention","Emory University|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)","All","18 Years to 25 Years   (Adult)","Not Applicable","20","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","IRB00105390|5P30DK111024-02","September 2018","September 2019","September 2019","August 6, 2018","null","September 6, 2018","Emory University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03616171"
18,"NCT03609957","Exercise and Pain in Non-Hispanic Blacks and Whites",,"Not yet recruiting","No Results Available","Pain, Acute|Pain, Neuropathic|Analgesia|Aerobic Exercise|Exercise Training","Other: Aerobic Exercise Training|Other: Interval Training","Change in skin blood flow response to local heating","Georgia State University","All","18 Years to 40 Years   (Adult)","Not Applicable","120","Other","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","H18343","February 2019","December 2019","December 2019","August 1, 2018","null","August 31, 2018","Georgia State University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03609957"
19,"NCT03605719","Dexamethasone, Carfilzomib, Nivolumab, & Pomalidomide With Reovirus for Relapsed/Refractory Multiple Myeloma",,"Not yet recruiting","No Results Available","Recurrent Plasma Cell Myeloma","Drug: Carfilzomib|Drug: Dexamethasone|Biological: Nivolumab|Drug: Pomalidomide|Biological: Wild-type Reovirus","Dose-limiting toxicity (DLT) of 4-drug regimen evaluated according to National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE)|Maximum tolerated dose (MTD) of 4-drug regimen|DLT of 3-drug regimen evaluated according to NCI CTCAE version 5.0|DLT of 5-drug regimen evaluated according to NCI CTCAE version 5.0|Time to progression|Progression-free survival|Overall survival","Emory University|Bristol-Myers Squibb|Oncolytics Biotech|University of Utah|City of Hope Medical Center|Phylogeny","All","18 Years and older   (Adult, Older Adult)","Phase 1","62","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB00104234|NCI-2018-01217|Winship4398-18","July 1, 2019","July 31, 2022","July 31, 2025","July 30, 2018","null","July 30, 2018","Emory University Hospital/Winship Cancer Institute, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03605719"
20,"NCT03596450","Long Term Comparative Effectiveness of Once Weekly Semaglutide Versus Standard of Care in a Real World Adult US Population With Type 2 Diabetes - a Randomized Pragmatic Trial",,"Recruiting","No Results Available","Diabetes Mellitus, Type 2","Drug: Semaglutide|Drug: Standard of care","Hemoglobin A1c (HbA1c) less than 7.0% (53 mmol/mol) (yes/no)|Change in HbA1c|HbA1c less than 7.0% (53 mmol/mol) (yes/no)|Individualized HbA1c target attained (yes/no)|HbA1c less than 7.0% (53 mmol/mol) or at least 1% point improvement in HbA1c compared to baseline (yes/no)|HbA1c target attainment per Healthcare Effectiveness Data and Information Set (HEDIS) criteria (yes/No)|Change in body weight|Change in systolic blood pressure (SBP)|Change in diastolic blood pressure (DBP)|Time to first study drug discontinuation|Time to first treatment intensification (add-on) or change (switch)|Study drug medication adherence for the first year of the study, as measured by medication possession ratio (MPR)|Number of hypoglycemic episodes leading to an inpatient admission or emergency room (ER) encounter|Diabetes Treatment Satisfaction Questionnaire, change version (DTSQc), Total treatment satisfaction score|DTSQc, Total treatment satisfaction score|Change from baseline in Short Form 12-Item Version 2 Survey (SF-12 v2), Physical summary component (PCS-12) score|Change from baseline in SF-12 v2, PCS-12 score|Change from baseline in SF-12 v2, Mental summary component (MCS-12) score|Change from baseline in SF-12 v2, MCS-12 score|Change from baseline in Work Productivity and Activity Impairment, General Health questionnaire (WPAI-GH) Absenteeism (work time missed) score|Change from baseline in WPAI-GH Absenteeism (work time missed) score|Change from baseline in WPAI-GH Presenteeism (impairment at work / reduced on-the-job effectiveness) score|Change from baseline in WPAI-GH Work productivity loss (overall work impairment / absenteeism plus presenteeism) score|Change from baseline in WPAI-GH Activity Impairment score|All cause healthcare resource utilization (HCRU): Number of inpatient admissions|All cause HCRU: Cumulative length of stay for inpatient admissions|All cause HCRU: Number of ER encounters|All cause HCRU: Number of outpatient encounters|All cause HCRU: Number of medications|All cause HCRU: Occurrence of inpatient admission (yes/no)|All cause HCRU: Occurrence of ER encounter (yes/no)|All cause HCRU: Occurrence of outpatient encounter (yes/no)|Diabetes related HCRU: Number of diabetes related inpatient admissions|Diabetes related HCRU: Cumulative length of stay for diabetes related inpatient admissions|Diabetes related HCRU: Number of diabetes related ER encounters|Diabetes related HCRU: Number of diabetes related outpatient encounters|Diabetes related HCRU: Number of diabetes related medications|Diabetes related HCRU: Occurrence of diabetes related inpatient admission (yes/no)|Diabetes related HCRU: Occurrence of diabetes related ER encounter (yes/no)|Diabetes related HCRU: Occurrence of diabetes related outpatient encounter (yes/no)","Novo Nordisk A/S","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 4","2250","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NN9535-4416|U1111-1207-6474","July 13, 2018","November 20, 2020","November 19, 2021","July 23, 2018","null","August 27, 2018","Novo Nordisk Investigational Site, Statesboro, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03596450"
21,"NCT03596333","Color Doppler Ultrasound to Locate Needle in Labor Epidural",,"Completed","No Results Available","Labor Pain|Obstetric Pain","Other: Retrospective chart review","Epidural needle tip position|Epidural catheter position|Epidural failure rate","Augusta University","Female","18 Years and older   (Adult, Older Adult)","","35","Other","Observational","Observational Model: Case-Only|Time Perspective: Retrospective","1230080","May 28, 2018","June 28, 2018","June 30, 2018","July 23, 2018","null","July 23, 2018","Augusta University, Augusta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03596333"
22,"NCT03595384","Soccer-based Adaptation of the Diabetes Prevention Program",,"Recruiting","No Results Available","Diabetes","Behavioral: Soccer-based adaptation to the DPP","Number of participants completing the study|Session attendance|Participant Satisfaction Questionnaire|Change in weight|Change in steps per day|Change in dietary behaviors|Change in International Physical Activity Questionnaire (IPAQ) score|Change in waist circumference","Emory University|Georgia Center for Diabetes Translation Research|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)|University of Southern Denmark","Male","30 Years to 60 Years   (Adult)","Not Applicable","40","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","IRB00100342|P30DK111024","April 29, 2018","December 2018","December 2018","July 23, 2018","null","August 6, 2018","Emory University Rollins School of Public Health, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03595384"
23,"NCT03590951","Anesthetic and Obstetric Outcomes in Morbidly Obese Pregnancy and Cesarean Delivery",,"Completed","No Results Available","Morbid Obesity|Cesarean Section Complications|Pregnancy Related","Other: Retrospective chart review","Obstetric complications|Anesthetic complications|Neonatal complications|Other anesthetic complications","Augusta University","Female","18 Years and older   (Adult, Older Adult)","","771","Other","Observational","Observational Model: Case-Only|Time Perspective: Retrospective","1053583","May 3, 2017","February 13, 2018","February 13, 2018","July 18, 2018","null","July 18, 2018","Augusta University, Augusta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03590951"
24,"NCT03583866","Adiposity and Endothelin Receptor Function","END-RF","Recruiting","No Results Available","Hypertension","Drug: Candesartan|Drug: Placebo","Percentage Change in Flow-Mediated Dilation (FMD)","Augusta University|National Heart, Lung, and Blood Institute (NHLBI)","All","18 Years to 40 Years   (Adult)","Early Phase 1","200","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","1148277|5P01HL069999","May 21, 2018","June 2020","June 2021","July 12, 2018","null","July 12, 2018","Georgia Prevention Institute/ Laboratory of Integrative and Exercise Physiology, Augusta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03583866"
25,"NCT03583151","Corticosteroid vs. Amniotic Fluid Injections in Patients With Trigger Finger",,"Enrolling by invitation","No Results Available","Stenosing Tenosynovitis","Biological: Amniotic fluid injection|Biological: Steroid injection","Patient reported pain level|Trigger frequency|Disabilities of the Arm Shoulder and Hand score","J&M Shuler|Vivex Biomedical","All","18 Years and older   (Adult, Older Adult)","Phase 3","100","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","Random TF","May 10, 2018","December 2018","December 2019","July 11, 2018","null","July 11, 2018","Athens Orthopedic Clinic, Athens, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03583151"
26,"NCT03582722","Weight Loss Aid in an Exposed Population",,"Recruiting","No Results Available","Polybrominated Biphenyl Poisoning","Drug: Orlistat|Drug: Placebo capsule","Change in weight|Change in Body Mass Index|Change in dietary intake using Automated Self-administered 24-hour Recall score|Change in physical activity|Change in serum concentration of PBB (polybrominated biphenyl) 153|Change in serum concentration of PBDE (Polybrominated diphenyl ether) 47|Change in serum concentration of PCB (polychlorinated biphenyl) 118|Change in serum concentration of PCB (polychlorinated biphenyl) 138|Change in serum concentration of PCB (polychlorinated biphenyl) 153|Change in serum concentration of PCB (polychlorinated biphenyl) 180|Change in serum concentration of DDT/DDE (Dichlorodiphenyldichloroethylene/Dichlorodiphenyltrichloroethane)","Emory University|Healthway Compounding Pharmacy in central Michigan|Michigan Public Health Departments","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","120","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IRB00099231","September 14, 2018","April 30, 2021","April 30, 2022","July 11, 2018","null","September 25, 2018","Michele Marcus, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03582722"
27,"NCT03581981","Improving Function Through Primary Care Treatment of PTSD","PE-PC","Not yet recruiting","No Results Available","Posttraumatic Stress Disorder","Behavioral: Prolonged Exposure for Primary Care (PE-PC)|Behavioral: Treatment as Usual","World Health Organization Disability Assessment Scale Change|World Health Organization Disability Assessment Scale|Clinician Adminstered PTSD Scale for DSM 5 (CAPS5) Change|PTSD Checklist for DSM5 (PCL-5) Change|Patient Health Questionnaire- 9 (PHQ-9) Change|Clinician Adminstered PTSD Scale for DSM 5 (CAPS5)|Clinician Adminstered PTSD Scale for DSM 5 (CAPS5|PTSD Checklist for DSM5 (PCL-5)|Patient Health Questionnaire- 9 (PHQ-9)","VA Office of Research and Development|Ralph H. Johnson VA Medical Center|VA Ann Arbor Healthcare System","All","18 Years and older   (Adult, Older Adult)","Phase 3","120","U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","D2625-R","November 1, 2018","September 30, 2022","September 30, 2022","July 10, 2018","null","July 10, 2018","Atlanta VA Medical and Rehab Center, Decatur, GA, Decatur, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03581981"
